task,vri_id,mitypeTitle,mitypeNumber,mitypeType,mit_id,mi_number,mi_modification,mi_manufactureYear,mi_Owner_name,org_title,fsa_ral_regNumbers_regNumber,vriType,result_doc_type,result_docnum,additional_info,mitypeURL,query_meta,org_title_norm,owner_norm,mitypeTitle_norm
tsagi_manometers,487571604,Маном...,3255-72,МТП-1...,340926,1499258,МВТП-160,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/340926,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,498882806,Маном...,25913-08,"ТМ, Т...",331774,С0931976,ТМ-110Р,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/331774,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,498882807,Маном...,60168-15,ФТ,373414,12/008,ДМ 80...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,И-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/373414,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,498882808,Маном...,60168-15,ФТ,373414,12/007,ДМ 80...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/373414,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,498882809,Маном...,20680-00,МО и ВО,323269,115926,МО 11...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/323269,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,498882811,Маном...,20680-00,МО и ВО,323269,120707,МО 11...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/323269,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,498882812,Маном...,20680-00,МО и ВО,323269,10731,МО 11...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/323269,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,498883869,Маном...,20680-07,МО и ВО,323270,104251,"МО-2,5",,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/323270,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,498883870,Маном...,20680-07,МО и ВО,323270,6085,"МО-2,5",,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/323270,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,501301521,Маном...,26803-11,"МПТИ,...",333160,22401...,МПТИ-...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/333160,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,501301522,Маном...,26803-11,"МПТИ,...",333160,22401...,МПТИ-...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/333160,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,501301523,Маном...,26803-11,"МПТИ,...",333160,22401...,МПТИ-...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/333160,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
